Tracking Carrier – Company Name,Tracking Carrier – Value
17 Post Service,17postservice
2ebox,2ebox
2GO,2go
360 Lion Express,360lion
3JMS Logistics,3jmslogistics
4-72 Entregando,4-72
4PX,4px
绿色国际速递,6ls
A1Post,a1post
A2B Express Logistics,a2b-ba
AAA Cooper,aaa-cooper
AB Custom Group,abcustom
ABF Freight,abf
ABX Express,abxexpress-my
aCommerce,acommerce
ACS Courier,acscourier
ACS Worldwide Express,acsworldwide
Adicional Logistics,adicional
ADSOne,adsone
A Duie Pyle,aduiepyle
Aeronet,aeronet
AEX Group,aex
AFL LOGISTICS,afllog-ftp
Agility,agility
AIR21,air21
Airmee,airmee-webhook
Airpak Express,airpak-express
Airspeed International Corporation,airspeed
AlfaTrex,alfatrex
Allied Express,alliedexpress
ALLJOY SUPPLY CHAIN CO. LTD,alljoy
alphaFAST,alphafast
Always Express,always-express
Amazon Shipping,amazon-uk-api
Amazon Shipping + Amazon MCF,amazon
AMS Group,amsegroup
Amstan Logistics,amstan
An Post,an-post
ANICAM BOX EXPRESS,anicamboxexpress
Anjun,anjun
ANSERX,anserx
Anteraja,anteraja
AO Logistics,ao-courier
AO Deutschland Ltd.,ao-deutschland
APC Postal Logistics,apc
APC Overnight,apc-overnight
APC Overnight Consignment Number,apc-overnight-connum
APC Overnight Reference,apc-overnight-reference
APC Postal Logistics,apc
APG eCommerce Solutions Ltd.,apg
Aprisa Express,aprisaexpress
Aquiline,aquiline
Aramex,aramex
Aramex Australia (formerly Fastway AU),fastway-au
Arco Spedizioni SP,arco-spedizioni
Arrow XL,arrowxl
ASE KARGO,ase
Asendia Germany,asendia-de
Asendia APAC,asendia-hk
Asendia HK (LATAM),skypostal
Asendia UK,asendia-uk
Asendia USA,asendia-usa
ASIGNA,asigna
ASM(GLS Spain),asm
Au Express,auexpress
AuPost China,aupost-china
Australia Post,australia-post
Austrian Post (Express),austrian-post
Austrian Post (Registered),austrian-post-registered
Averitt Express,averitt
Axlehire,axlehire-ftp
B&H Worldwide,bh-worldwide
B2C Europe,b2ceurope
北俄国际,be
Belpost,belpost
Beone Logistics,ibeone
Bert Transport,bert-fr
Best Way Parcel,bestwayparcel
BirdSystem,birdsystem
BJS Distribution Storage & Couriers,bjshomedelivery
Blink,blinklastmile
Bluecare Express Ltd,bluecare
Bluedart,bluedart
Blue Star,bluestar
Blue Express,bluex
Bneed,bneed
Bollore Logistics,bollore-logistics
Bombino Express Pvt Ltd,bombinoexp
Bond,bond
Bonds Couriers,bondscouriers
Border Express,borderexpress
Boxberry,box-berry
BOXC,boxc
Bpost,bpost
bpost international,bpost-international
Brazil Correios,brazil-correios
Bring,bring
Brouwer Transport en Logistiek B.V.,brouwer-transport
BRT Bartolini,brt-it
BRT Bartolini(Parcel ID),brt-it-parcelid
BRT Bartolini(Sender Reference),brt-it-sender-ref
Budbee,budbee-webhook
Buylogic,buylogic
CAE Delivers,cae-delivers
Cainiao,cainiao
Cambodia Post,cambodia-post
Canada Post,canada-post
Canpar Courier,canpar
Captain Express International,cpex
Caribou,caribou
Carriers,carriers
Carry-Flap Co. Ltd.,carry-flap
CBL Logistics,cbl-logistica
CDEK,cdek
CDEK TR,cdek-tr
CDL Last Mile,cdldelivers
Celeritas Transporte S.L,celeritas
Cello Square,cello-square
Česká Pošta,ceska-posta
CEVA LOGISTICS,ceva
CFL Logistics,cfl-logistics
CGS Express,cgs-express
Champion Logistics,champion-logistics
Chile Express,chilexpress
China EMS (ePacket),china-ems
China Post,china-post
Chit Chats,chitchats
Choir Express Indonesia,choirexpress
C.H. Robinson Worldwide Inc.,chrobinson
Chronopost France,chronopost-france
Chronopost Portugal (DPD),chronopost-portugal
Chukou1,ec-firstclass
City-Link Express,citylinkexpress
CJ GLS,cj-gls
CJ Logistics International(Hong Kong),cj-hk-international
CJ Korea Express,cj-korea-thai
CJ Century,cj-malaysia
CJ Century (International),cj-malaysia-international
CJ Transnational Philippines,cj-philippines
CJ Logistics International,cjlogistics
CJ Packet,cjpacket
CL E-Logistics Solutions Limited,cle-logistics
Clevy Links,clevy-links
Cloudwish Asia,cloudwish-asia
CND Express,cndexpress
CNE Express,cnexps
cnwangtong,cnwangtong
Colis Privé,colis-prive
Colissimo,colissimo
CollectCo,collectco
Collect+,collectplus
ComOne Express,com1express
CometTech,comet-tech
Con-way Freight,con-way
Concise,concise
Continental,continental
Coordinadora,coordinadora
Copa Airlines Courier,copa-courier
Cope Sensitive Freight,cope
Corporate Couriers,corporatecouriers-webhook
Correo Argentino,correo-argentino
Correo Uruguayo,correo-uy
Correos Chile,correos-chile
Correos de Mexico,correos-de-mexico
Correos de España,spain-correos-es
Correos Express,correosexpress
Cosmetics Now,costmeticsnow
Courant Plus,courant-plus
Courier IT,courierit
Courier Plus,courier-plus
CourierPost,courierpost
Couriers Please,couriers-please
cPacket,cpacket
CRL Express,crlexpress
Croshot,croshot
CSE,cse
CTC Express,ctc-express
Cubyn,cubyn
Cuckoo Express,cuckooexpress
Cyprus Post,cyprus-post
DACHSER,dachser
Daeshin,daeshin
DAI Post,daiglobaltrack
Dawn Wing,dawnwing
Day & Ross,dayross
Daylight Transport LLC,dylt
Dayton Freight,dayton-freight
DB Schenker Sweden,dbschenker-se
DB Schenker Sweden,dbschenker-sv
DD Express Courier,ddexpress
DealerSend,dealer-send
Delcart,delcart-in
Delhivery,delhivery
Deliver-iT,deliver-it
deliverE,delivere
DELIVERYONTIME LOGISTICS PVT LTD,deliveryontime
Deliver Your Parcel,deliveryourparcel-za
Delnext,delnext
Deltec Courier,deltec-courier
DemandShip,demandship
Dependable Supply Chain Services,godependable
Designer Transport,designertransport-webhook
Destiny Transportation,destiny
Detrack,detrack
Deutsche Post DHL,dhl-germany
Deutsche Post Mail,deutsch-post
DEX-I,dex-i
DHL 2-Mann-Handling,dhl-deliverit
DHL Active Tracing,dhl-active-tracing
DHL Benelux,dhl-benelux
DHL eCommerce,dhl-global-mail
DHL Express,dhl
DHL Express (Piece ID),dhl-pieceid
DHL eCommerce Asia,dhl-global-mail-asia
DHL Hong Kong,dhl-hk
DHL Netherlands,dhl-nl
DHL Parcel NL,dhlparcel-nl
DHL Parcel Russia,dhlparcel-ru
DHL Parcel Spain,dhlparcel-es
DHL Parcel UK,dhlparcel-uk
DHL Poland Domestic,dhl-poland
DHl (Reference Number),dhl-reference
DHL Spain Domestic,dhl-es
DHL Supply Chain Australia,dhl-supply-chain-au
DHL Supply Chain APAC,dhl-supplychain-apac
Dialogo Logistica,dialogo-logistica
